Dosya,Yöntem,Entropy,Kontrast (Std),Renk Canlılığı,Kenar Yoğunluğu,Ort. Parlaklık,PSNR (dB),SSIM,İşlem Süresi (ms)
1402_4.png,"MSRCR (σ=[15,80,250])",6.51,92.1017,33.4612,72.2308,135.4721,11.454,0.5501,2792.6
1402_7.png,DCP (Dark Channel Prior),6.9289,79.625,37.2035,32.6357,89.2583,23.5388,0.85,119.51
1402_7.png,CLAHE (LAB),7.3977,68.008,19.8399,51.5397,145.8125,11.5367,0.5758,177.01
1402_7.png,"MSRCR (σ=[15,80,250])",6.5663,91.4502,32.108,69.8312,135.9651,11.3483,0.552,3262.21
1401_10.png,DCP (Dark Channel Prior),7.6311,57.0105,95.285,36.1438,102.6718,20.5524,0.8424,132.27
1401_10.png,CLAHE (LAB),7.5861,49.3236,52.8564,49.4437,141.4455,13.5924,0.6802,125.21
1401_10.png,"MSRCR (σ=[15,80,250])",7.3145,94.0025,74.4289,62.444,130.9198,11.5829,0.5242,3548.02
1402_6.png,DCP (Dark Channel Prior),6.7441,80.5042,37.5791,32.6138,88.6851,23.6896,0.8589,121.07
1402_6.png,CLAHE (LAB),7.4009,68.7993,20.7245,52.705,143.4243,11.8799,0.5811,120.72
1402_6.png,"MSRCR (σ=[15,80,250])",6.5444,91.6381,32.5532,70.6158,135.7751,11.3914,0.5515,3689.9
1402_2.png,DCP (Dark Channel Prior),6.6958,81.3804,38.7022,32.5229,85.0649,23.6528,0.8926,146.06
1402_2.png,CLAHE (LAB),7.4239,72.1209,24.9599,57.5863,134.3005,13.2876,0.6009,175.21
1402_2.png,"MSRCR (σ=[15,80,250])",6.4893,92.7469,34.3431,74.0353,135.3263,11.4697,0.5482,3588.89
1402_5.png,DCP (Dark Channel Prior),6.7322,80.7083,37.8648,32.5854,87.7593,23.7444,0.867,163.93
1402_5.png,CLAHE (LAB),7.4043,69.5362,21.6714,53.879,141.2894,12.1953,0.5858,74.95
1402_5.png,"MSRCR (σ=[15,80,250])",6.5227,91.8515,33.0059,71.4106,135.6156,11.4265,0.5509,3914.88
1402_3.png,DCP (Dark Channel Prior),6.71,81.1464,38.4266,32.5388,85.9522,23.7241,0.8839,132.01
1402_3.png,CLAHE (LAB),7.4129,71.1485,23.7704,56.3373,136.6653,12.9089,0.5956,230.7
1402_3.png,"MSRCR (σ=[15,80,250])",6.4993,92.3919,33.9114,73.1146,135.378,11.4689,0.5491,3923.2
1403_1.png,DCP (Dark Channel Prior),6.9667,41.6854,43.7453,42.1941,64.1301,25.6963,0.8937,67.77
1403_1.png,CLAHE (LAB),7.4776,46.7714,28.0356,66.7857,117.2721,12.7771,0.5637,11.31
1403_1.png,"MSRCR (σ=[15,80,250])",7.1632,98.2986,53.1968,104.2931,126.7385,8.9573,0.3939,1670.87
1402_8.png,DCP (Dark Channel Prior),6.9883,79.2677,36.8692,32.7033,90.1452,23.3888,0.8415,102.88
1402_8.png,CLAHE (LAB),7.4086,67.4229,19.0185,50.4214,147.8381,11.2654,0.5715,8.86
1402_8.png,"MSRCR (σ=[15,80,250])",6.5805,91.289,31.6737,69.1069,136.1749,11.3,0.5523,1966.68
1402_10.png,DCP (Dark Channel Prior),7.0593,78.2192,36.0964,32.8336,91.6038,22.9145,0.8244,143.02
1402_10.png,CLAHE (LAB),7.4127,66.0646,17.5496,48.299,152.2885,10.6845,0.5616,5.88
1402_10.png,"MSRCR (σ=[15,80,250])",6.6236,90.9964,30.823,67.6551,136.6247,11.1925,0.5525,1835.14
1402_9.png,DCP (Dark Channel Prior),7.0482,78.2062,36.4339,32.7828,90.5468,23.107,0.8318,113.12
1402_9.png,CLAHE (LAB),7.4118,66.7018,18.2698,49.3727,150.1177,10.9654,0.5664,4.95
1402_9.png,"MSRCR (σ=[15,80,250])",6.599,91.1431,31.2335,68.3684,136.395,11.2477,0.5524,1805.18
1403_2.png,DCP (Dark Channel Prior),6.9928,42.1287,43.8707,42.4602,65.6973,25.0675,0.8813,107.32
1403_2.png,CLAHE (LAB),7.4437,45.4852,26.5279,64.3697,120.8109,12.2858,0.5599,5.21
1403_2.png,"MSRCR (σ=[15,80,250])",7.1771,97.8934,53.3075,103.8062,126.5443,8.9706,0.3925,1810.44
1403_8.png,DCP (Dark Channel Prior),7.0911,44.0375,43.4817,42.8507,74.9169,20.828,0.8145,127.46
1403_8.png,CLAHE (LAB),7.2647,38.7213,19.5004,51.7544,143.4054,9.5563,0.5293,119.66
1403_8.png,"MSRCR (σ=[15,80,250])",7.2183,96.1738,52.7324,100.6975,126.8636,8.8501,0.3831,2222.41
1404_2.png,DCP (Dark Channel Prior),6.8749,85.6263,43.1586,50.4672,109.7319,21.5558,0.9263,139.29
1404_2.png,CLAHE (LAB),7.2373,69.6179,25.8225,63.5341,147.7692,16.0917,0.7834,141.52
1404_2.png,"MSRCR (σ=[15,80,250])",6.9922,92.3743,34.085,83.1466,134.2798,15.5142,0.6766,2695.03
1403_9.png,DCP (Dark Channel Prior),7.0973,44.0172,43.2131,42.5939,76.1872,20.2795,0.8056,123.76
1403_9.png,CLAHE (LAB),7.2401,37.8758,18.5653,49.8895,147.0292,9.1763,0.5237,119.62
1403_9.png,"MSRCR (σ=[15,80,250])",7.2233,95.992,52.5425,100.096,127.0136,8.8122,0.3821,2920.2
1403_4.png,DCP (Dark Channel Prior),7.036,42.8822,43.92,42.8972,68.7443,23.5691,0.8562,117.62
1403_4.png,CLAHE (LAB),7.3886,43.1351,23.8655,59.9506,128.8033,11.2379,0.549,116.21
1403_4.png,"MSRCR (σ=[15,80,250])",7.1947,97.181,53.2696,102.8732,126.4508,8.9608,0.3889,2959.38
1404_1.png,DCP (Dark Channel Prior),6.8799,85.8684,43.3388,50.6274,109.0519,21.4121,0.9258,91.87
1404_1.png,CLAHE (LAB),7.2566,70.783,27.0503,65.1291,145.7542,16.5459,0.7868,85.39
1404_1.png,"MSRCR (σ=[15,80,250])",6.9827,92.2054,34.1036,84.0736,134.8372,15.462,0.6754,3100.55
1403_10.png,DCP (Dark Channel Prior),7.1204,44.7557,43.1027,42.6751,78.1789,19.5349,0.7953,130.17
1403_10.png,CLAHE (LAB),7.216,37.1486,17.6816,48.14,150.2451,8.8527,0.5187,121.97
1403_10.png,"MSRCR (σ=[15,80,250])",7.2286,95.8299,52.4017,99.5315,127.201,8.7715,0.3808,3176.26
1403_3.png,DCP (Dark Channel Prior),7.0163,42.562,43.9292,42.7553,67.2492,24.2982,0.8679,100.53
1403_3.png,CLAHE (LAB),7.4168,44.2481,25.1467,62.1101,124.7483,11.7573,0.5546,120.3
1403_3.png,"MSRCR (σ=[15,80,250])",7.1864,97.5189,53.3285,103.3319,126.4614,8.9708,0.3906,3447.61
1403_7.png,DCP (Dark Channel Prior),7.0793,43.6954,43.5311,42.8611,73.2357,21.5229,0.8249,135.28
1403_7.png,CLAHE (LAB),7.2912,39.7082,20.4885,53.6405,139.7352,9.951,0.5349,146.31
1403_7.png,"MSRCR (σ=[15,80,250])",7.2118,96.3887,52.8915,101.2249,126.7084,8.8853,0.3844,3318.14
1403_6.png,DCP (Dark Channel Prior),7.0678,43.5268,43.7215,42.9722,71.7871,22.1413,0.8345,140.03
1403_6.png,CLAHE (LAB),7.3269,40.8402,21.5288,55.6364,135.8986,10.3815,0.5406,100.49
1403_6.png,"MSRCR (σ=[15,80,250])",7.2057,96.6165,53.038,101.7975,126.5859,8.9171,0.3858,3636.04
1403_5.png,DCP (Dark Channel Prior),7.0496,43.0948,43.8097,42.8817,70.1649,22.8872,0.8455,116.26
1403_5.png,CLAHE (LAB),7.3548,41.891,22.6616,57.8535,132.4139,10.7923,0.5445,151.5
1403_5.png,"MSRCR (σ=[15,80,250])",7.2009,96.8815,53.1448,102.3388,126.5059,8.9417,0.3876,3515.87
1404_3.png,DCP (Dark Channel Prior),6.8681,85.3814,42.9727,50.2864,110.4393,21.6939,0.9265,137.14
1404_3.png,CLAHE (LAB),7.2155,68.3525,24.7069,61.9195,150.0217,15.5915,0.7785,122.26
1404_3.png,"MSRCR (σ=[15,80,250])",7.0033,92.5195,34.0172,82.1803,133.8282,15.5271,0.6779,3517.74
1404_4.png,DCP (Dark Channel Prior),6.891,85.1441,42.7608,50.1179,111.2003,21.8309,0.9265,86.25
1404_4.png,CLAHE (LAB),7.2004,67.0484,23.6736,60.3406,152.5045,15.0495,0.773,5.97
1404_4.png,"MSRCR (σ=[15,80,250])",7.0157,92.6469,33.8799,81.2276,133.4535,15.5084,0.6789,2112.3
1404_8.png,DCP (Dark Channel Prior),7.0713,83.828,41.599,49.4981,113.9974,22.0723,0.918,121.35
1404_8.png,CLAHE (LAB),7.0909,62.9932,20.1429,54.3011,161.8474,13.3303,0.7534,1.95
1404_8.png,"MSRCR (σ=[15,80,250])",7.063,93.1965,33.0665,77.3617,132.5913,15.205,0.6781,1333.26
1404_6.png,DCP (Dark Channel Prior),7.1713,83.8106,42.1309,49.8487,111.9999,21.8724,0.9204,96.97
1404_6.png,CLAHE (LAB),7.1854,65.0442,21.7951,57.3086,156.9631,14.2067,0.7642,7.29
1404_6.png,"MSRCR (σ=[15,80,250])",7.0417,92.9243,33.5019,79.2656,132.9193,15.3947,0.6797,1481.9
1404_5.png,DCP (Dark Channel Prior),7.1969,83.7486,42.3449,50.0107,111.0307,21.757,0.9214,106.11
1404_5.png,CLAHE (LAB),7.203,66.0452,22.6949,58.7457,154.7983,14.6264,0.7691,4.86
1404_5.png,"MSRCR (σ=[15,80,250])",7.0273,92.7841,33.689,80.2247,133.1494,15.4645,0.6797,1495.31
1404_7.png,DCP (Dark Channel Prior),7.115,83.8977,41.8513,49.6639,113.053,21.9922,0.9196,119.18
1404_7.png,CLAHE (LAB),7.1411,64.0263,20.9382,55.7661,159.5475,13.7343,0.7588,2.11
1404_7.png,"MSRCR (σ=[15,80,250])",7.0515,93.0617,33.2966,78.3028,132.7331,15.3085,0.6792,1554.37
1404_10.png,DCP (Dark Channel Prior),7.0418,83.3401,41.0256,49.0629,115.8038,22.151,0.9152,118.25
1404_10.png,CLAHE (LAB),7.0344,60.8999,18.6739,51.4434,166.1613,12.5869,0.7422,109.26
1404_10.png,"MSRCR (σ=[15,80,250])",7.0831,93.4427,32.5868,75.4405,132.395,14.966,0.6746,2235.59
1405_9.png,DCP (Dark Channel Prior),7.2245,73.1009,51.9004,46.2633,117.0592,19.8716,0.9168,140.02
1405_9.png,CLAHE (LAB),7.2624,60.0251,19.8651,54.2351,170.3342,12.9596,0.7686,130.48
1405_9.png,"MSRCR (σ=[15,80,250])",7.1264,85.808,30.2335,75.4141,139.1758,14.7465,0.7153,2455.55
1405_5.png,DCP (Dark Channel Prior),7.3121,73.1936,54.2177,46.8982,112.2096,19.095,0.9202,120.87
1405_5.png,CLAHE (LAB),7.5019,64.003,24.3548,61.7,160.8113,14.5984,0.786,124.63
1405_5.png,"MSRCR (σ=[15,80,250])",7.1003,87.048,32.0706,80.2988,139.1733,15.1155,0.7111,2892.6
1405_1.png,DCP (Dark Channel Prior),7.0894,74.5931,56.5009,47.5191,108.8667,18.4182,0.9234,97.61
